Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
412 | UP   | 🛡️ TRAIL | $  1.40 | $   97.20
413 | DOWN | ❌ LOSS   | $ -1.50 | $   95.70
414 | UP   | 🛡️ TRAIL | $  0.70 | $   96.40
415 | UP   | ❌ LOSS   | $ -1.50 | $   94.90
416 | UP   | 🛡️ TRAIL | $  0.90 | $   95.80
417 | UP   | 🛡️ TRAIL | $  0.60 | $   96.40
418 | UP   | ✅ TARGET | $  3.00 | $   99.40
419 | UP   | 🛡️ B-EVEN | $  0.00 | $   99.40
420 | UP   | ❌ LOSS   | $ -1.50 | $   97.90
421 | DOWN | 🛡️ TRAIL | $  0.20 | $   98.10
422 | DOWN | ❌ LOSS   | $ -1.50 | $   96.60
423 | UP   | 🛡️ TRAIL | $  0.10 | $   96.70
424 | DOWN | ❌ LOSS   | $ -1.50 | $   95.20
425 | UP   | 🛡️ TRAIL | $  1.60 | $   96.80
